Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4080,Harry Potter and the Order of the Phoenix,Wii,2007.0,Action,Electronic Arts,0.38,0.06,0.0,0.04,0.49
9039,Disney Infinity 2.0: Marvel Super Heroes,PSV,2015.0,Action,Disney Interactive Studios,0.0,0.11,0.0,0.03,0.14
14663,Kong: King of Atlantis,GBA,2005.0,Action,THQ,0.02,0.01,0.0,0.0,0.03
6890,Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003.0,Action,Sony Computer Entertainment,0.0,0.0,0.24,0.0,0.24
1898,Grand Theft Auto V,PC,2015.0,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
16304,Fireman Sam: Action Stations,DS,2013.0,Action,Avanquest Software,0.0,0.01,0.0,0.0,0.01
1990,Guinness World Records: The Videogame,Wii,2008.0,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04
233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
9706,One Piece: Pirate Warriors 2,PSV,2013.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
8885,X-Men: The Official Game,GC,2006.0,Action,Activision,0.12,0.03,0.0,0.0,0.15
7069,Musou Orochi Z,PS3,2009.0,Action,Tecmo Koei,0.0,0.0,0.23,0.0,0.23
7648,From Russia With Love,XB,2005.0,Action,Electronic Arts,0.15,0.04,0.0,0.01,0.2
12885,Adventure Time: Finn & Jake Investigations,WiiU,2015.0,Action,Little Orbit,0.03,0.02,0.0,0.0,0.05
9175,Robots,DS,2005.0,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.14
9933,Spider-Man: Edge of Time,3DS,2011.0,Action,Activision,0.08,0.03,0.0,0.01,0.12
12565,Attack on Titan (KOEI),PS3,2016.0,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
157,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
3505,Top Spin 3,PS3,2008.0,Action,Take-Two Interactive,0.08,0.37,0.0,0.12,0.57
5589,Golden Axe: Beast Rider,PS3,2008.0,Action,Sega,0.13,0.14,0.0,0.06,0.32
8709,Jurassic Park: The Game,X360,,Action,Unknown,0.15,0.0,0.0,0.01,0.16
11805,Resident Evil Zero,XOne,2016.0,Action,Capcom,0.05,0.02,0.0,0.01,0.07
16570,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,3DS,2014.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
177,Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
9027,Ratatouille,GC,2007.0,Action,THQ,0.11,0.03,0.0,0.0,0.14
5490,Sonic Boom: Rise of Lyric,WiiU,2014.0,Action,Sega,0.21,0.09,0.0,0.03,0.33
2511,Star Wars The Clone Wars: Republic Heroes,Wii,2009.0,Action,LucasArts,0.44,0.3,0.0,0.08,0.82
8123,Marvel Super Hero Squad: Comic Combat,X360,2011.0,Action,THQ,0.13,0.04,0.0,0.01,0.18
15535,Kamen Rider: Battride War II,WiiU,2014.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
5032,Mobile Suit Gundam version 2.0,PS,1996.0,Action,Namco Bandai Games,0.0,0.0,0.36,0.02,0.38
9772,Curious George,PS2,2006.0,Action,Namco Bandai Games,0.06,0.05,0.0,0.02,0.12
10298,The Lord of the Rings: Conquest,DS,2009.0,Action,Electronic Arts,0.09,0.01,0.0,0.01,0.11
3941,Silent Hill 4: The Room,PS2,2004.0,Action,Konami Digital Entertainment,0.25,0.19,0.0,0.06,0.51
5349,Pirates of the Caribbean: At World's End,DS,2007.0,Action,Disney Interactive Studios,0.3,0.01,0.01,0.03,0.35
3046,Adventures of Tron,2600,1981.0,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67
14363,RoadKill,GC,2003.0,Action,Midway Games,0.02,0.01,0.0,0.0,0.03
7461,Evil Dead: Regeneration,PS2,2005.0,Action,THQ,0.1,0.08,0.0,0.03,0.21
1848,Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,0.51,0.42,0.0,0.17,1.11
6785,Tongari Boushi to Oshare na Mahou Tsukai,DS,2011.0,Action,Konami Digital Entertainment,0.0,0.0,0.24,0.0,0.24
3865,The Punisher,PS2,2005.0,Action,THQ,0.25,0.2,0.0,0.07,0.52
14380,Fullmetal Alchemist: Brotherhood,PSP,,Action,Unknown,0.0,0.0,0.03,0.0,0.03
6033,Bladestorm: The Hundred Years' War,PS3,2007.0,Action,Tecmo Koei,0.1,0.03,0.14,0.02,0.29
4678,Ghostbusters: The Video Game,DS,2009.0,Action,Atari,0.26,0.12,0.0,0.04,0.41
269,The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,Nintendo,2.03,1.27,0.62,0.3,4.21
12076,Jackass the Game DS,DS,2008.0,Action,Empire Interactive,0.06,0.0,0.0,0.01,0.07
10276,My Little Sister Can't Be This Cute Portable,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
11639,Daniel X: The Ultimate Power,DS,2010.0,Action,THQ,0.07,0.0,0.0,0.01,0.08
2005,LEGO Indiana Jones 2: The Adventure Continues,X360,2009.0,Action,Activision,0.62,0.33,0.0,0.09,1.04
5561,Frogger II: Threeedeep!,2600,1983.0,Action,Parker Bros.,0.31,0.02,0.0,0.0,0.33
9584,Dynasty Warriors 5 Empires,X360,2006.0,Action,Tecmo Koei,0.11,0.01,0.0,0.01,0.13
12021,Crimson Sea 2,PS2,2004.0,Action,Tecmo Koei,0.03,0.03,0.0,0.01,0.07
11967,Blast Radius,PS,1998.0,Action,Psygnosis,0.04,0.03,0.0,0.0,0.07
4791,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007.0,Action,Activision,0.32,0.04,0.01,0.04,0.4
5367,Tenchu Z,X360,2006.0,Action,Microsoft Game Studios,0.27,0.02,0.02,0.03,0.34
15435,Tenkai Knights: Brave Battle,3DS,2014.0,Action,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02
7198,Puss in Boots,Wii,2011.0,Action,THQ,0.19,0.01,0.0,0.01,0.22
13607,Playmobil Top Agents,DS,2010.0,Action,JoWood Productions,0.0,0.04,0.0,0.0,0.04
4053,Terraria,PS3,2013.0,Action,505 Games,0.07,0.26,0.09,0.07,0.49
7363,Bratz: Girlz Really Rock,Wii,2008.0,Action,THQ,0.19,0.0,0.0,0.02,0.21
6042,Disney Infinity,3DS,2013.0,Action,Disney Interactive Studios,0.16,0.1,0.0,0.02,0.29
2157,LEGO Pirates of the Caribbean: The Video Game,DS,2011.0,Action,Disney Interactive Studios,0.37,0.49,0.0,0.1,0.96
10826,Disney's Aladdin in Nasira's Revenge,PS,2000.0,Action,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.09
12495,Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
5184,Metro: Last Light,X360,2013.0,Action,Deep Silver,0.17,0.16,0.0,0.03,0.36
13027,Luminous Arc Infinity,PSV,2015.0,Action,Marvel Entertainment,0.0,0.0,0.05,0.0,0.05
10238,Transformers: Devastation,PS3,2015.0,Action,Activision,0.03,0.07,0.0,0.02,0.11
13477,World Trigger: Borderless Mission,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
6667,Spider-Man: Web of Shadows,Wii,2008.0,Action,Activision,0.22,0.01,0.0,0.02,0.25
2532,Twisted Metal (2012),PS3,2012.0,Action,Sony Computer Entertainment,0.67,0.07,0.0,0.07,0.82
15219,Genroh,PSP,2012.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
6944,Afro Samurai,X360,2009.0,Action,Atari,0.16,0.05,0.0,0.02,0.24
2278,Avatar: The Game,PS3,2009.0,Action,Ubisoft,0.32,0.43,0.0,0.16,0.91
16146,Harry Potter and the Chamber of Secrets,PC,2002.0,Action,Electronic Arts,0.0,0.01,0.0,0.0,0.01
10271,The Scorpion King: Rise of the Akkadian,GC,2002.0,Action,Universal Interactive,0.08,0.02,0.0,0.0,0.11
5508,Way of the Samurai 2,PS2,2003.0,Action,Capcom,0.05,0.04,0.23,0.01,0.33
701,Yokai Watch Busters,3DS,2015.0,Action,Level 5,0.0,0.0,2.28,0.0,2.28
3521,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008.0,Action,THQ,0.53,0.0,0.0,0.04,0.57
389,Grand Theft Auto 2,PS,1998.0,Action,Take-Two Interactive,1.13,2.07,0.0,0.22,3.42
6009,Dolphin,2600,1983.0,Action,Activision,0.27,0.02,0.0,0.0,0.29
1242,Pac-Man World 2,PS2,2002.0,Action,Namco Bandai Games,1.26,0.05,0.0,0.21,1.51
14461,Pet Alien: An Intergalactic Puzzlepalooza,DS,2007.0,Action,Game Factory,0.03,0.0,0.0,0.0,0.03
15052,Totally Spies! 2: Undercover,DS,2006.0,Action,Atari,0.01,0.01,0.0,0.0,0.02
2412,Tomb Raider: Anniversary,Wii,2007.0,Action,Eidos Interactive,0.12,0.63,0.0,0.11,0.86
7868,Disney Magic World 2,3DS,2015.0,Action,Nintendo,0.0,0.0,0.19,0.0,0.19
4839,Star Wars The Clone Wars: Republic Heroes,X360,2009.0,Action,LucasArts,0.18,0.17,0.0,0.04,0.4
15661,Song of the Deep,PC,2016.0,Action,Insomniac Games,0.02,0.0,0.0,0.0,0.02
12827,Captain America: Super Soldier,DS,,Action,Sega,0.05,0.0,0.0,0.0,0.05
1033,Dishonored,X360,2012.0,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73
12519,Prinny: Can I Really Be The Hero? (US sales),PSP,,Action,,0.06,0.0,0.0,0.0,0.06
1443,Grand Theft Auto: Chinatown Wars,DS,2009.0,Action,Take-Two Interactive,0.59,0.57,0.05,0.14,1.35
4935,BattleTanx: Global Assault,N64,1999.0,Action,3DO,0.31,0.07,0.0,0.0,0.39
16344,H2O+: Footprints in the Sand,PS2,2008.0,Adventure,Kadokawa Shoten,0.0,0.0,0.01,0.0,0.01
11212,L: the proLogue to DEATH NOTE - Rasen no Wana,DS,2008.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09
14007,12-Sai. Koisuru Diary,3DS,2016.0,Adventure,Happinet,0.0,0.0,0.04,0.0,0.04
10240,Gabrielle's Ghostly Groove 3D,3DS,2011.0,Adventure,Funbox Media,0.08,0.02,0.0,0.01,0.11
14571,Jack Keane,PC,2008.0,Adventure,Kalypso Media,0.0,0.02,0.0,0.0,0.03
15555,11eyes: CrossOver,PSP,2010.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
6906,Sherlock Holmes and the Mystery of Osborne House,DS,2010.0,Adventure,Focus Home Interactive,0.07,0.14,0.0,0.03,0.24
11656,Ro-Kyu-Bu!,PSP,2011.0,Adventure,Kadokawa Shoten,0.0,0.0,0.08,0.0,0.08
14458,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,3DS,2012.0,Adventure,ChunSoft,0.0,0.0,0.03,0.0,0.03
10179,NCIS 3D,3DS,2011.0,Adventure,Ubisoft,0.06,0.04,0.0,0.01,0.11
12098,DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage,DS,2008.0,Adventure,Tecmo Koei,0.0,0.0,0.07,0.0,0.07
13766,Hakuouki: Reimeiroku Portable,PSP,2011.0,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04
9450,How to Train Your Dragon 2,PS3,2014.0,Adventure,Little Orbit,0.03,0.08,0.0,0.02,0.13
4937,Chibi-Robo! Plug into Adventure!,GC,2005.0,Adventure,Nintendo,0.23,0.06,0.09,0.01,0.39
14876,Back to the Future: The Game,X360,2015.0,Adventure,Telltale Games,0.02,0.01,0.0,0.0,0.03
10371,Sakura Wars,DC,2000.0,Adventure,Sega,0.0,0.0,0.11,0.0,0.11
13683,The Wolf Among Us,X360,2011.0,Adventure,Telltale Games,0.01,0.03,0.0,0.0,0.04
15025,Clannad: Mitsumi Mamoru Sakamichi de - Joukan,PSP,2010.0,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
14328,Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,3DS,2012.0,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03
11910,"Flower, Sun, and Rain",DS,2008.0,Adventure,Rising Star Games,0.07,0.0,0.0,0.01,0.07
9769,The X Files: Resist or Serve,PS2,2004.0,Adventure,Vivendi Games,0.06,0.05,0.0,0.02,0.12
16454,Shin Koihime Musou: Otome Taisen * Sangokushi Engi,PS3,2014.0,Adventure,Views,0.0,0.0,0.01,0.0,0.01
7496,The Wolf Among Us,PS4,2014.0,Adventure,Telltale Games,0.1,0.07,0.0,0.03,0.21
3963,Avatar: The Last Airbender,GC,2006.0,Adventure,THQ,0.39,0.1,0.0,0.01,0.5
14415,Mother Goose no Himitsu no Yakata,PSP,2011.0,Adventure,Quinrose,0.0,0.0,0.03,0.0,0.03
16437,Tenjin Ranman: Happy GO Lucky!!,PSP,2010.0,Adventure,Russel,0.0,0.0,0.01,0.0,0.01
10245,Touch Detective 2 1/2,DS,2007.0,Adventure,505 Games,0.09,0.0,0.01,0.01,0.11
15917,Moe Moe 2-ji Taisen (Ryoku) * Deluxe,PSP,2008.0,Adventure,System Soft,0.0,0.0,0.02,0.0,0.02
11305,Elebits: The Adventures of Kai and Zero,DS,2008.0,Adventure,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08
15865,Taishou Moebius Line Vitable,PSV,2016.0,Adventure,dramatic create,0.0,0.0,0.02,0.0,0.02
15982,Xblaze: Lost Memories,PS3,2015.0,Adventure,Arc System Works,0.01,0.0,0.0,0.0,0.02
15896,Hiiro no Kakera Portable,PSP,2008.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
1016,Star Wars Episode I: The Phantom Menace,PS,1999.0,Adventure,LucasArts,0.72,0.89,0.04,0.1,1.74
14037,Obscure,XB,2004.0,Adventure,MC2 Entertainment,0.03,0.01,0.0,0.0,0.04
5451,Beyond Good & Evil,PS2,2003.0,Adventure,Ubisoft,0.16,0.13,0.0,0.04,0.33
10078,Jake Hunter Detective Story: Memories of the Past,DS,2007.0,Adventure,PQube,0.06,0.0,0.05,0.0,0.11
12905,Jirou Akagawa: Majotachi no Nemuri,SNES,1995.0,Adventure,Pack-In-Video,0.0,0.0,0.05,0.0,0.05
12666,Vitamin X to Z,PSP,2011.0,Adventure,D3Publisher,0.0,0.0,0.06,0.0,0.06
16510,Romeo Vs. Juliet,PSP,2013.0,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01
15484,Agatha Christie's The ABC Murders,PS4,2016.0,Adventure,Microids,0.01,0.01,0.0,0.0,0.02
9937,The Clique: Diss and Make Up,DS,2009.0,Adventure,Warner Bros. Interactive Entertainment,0.11,0.0,0.0,0.01,0.12
16235,Zero no Tsukaima: Maigo no Period to Ikusen no Symphony,PS2,2008.0,Adventure,Marvelous Interactive,0.0,0.0,0.01,0.0,0.01
14899,Psycho-Pass: Mandatory Happiness,PS4,2016.0,Adventure,Nippon Ichi Software,0.02,0.0,0.0,0.0,0.03
4037,Ultimate I Spy,Wii,2008.0,Adventure,Scholastic Inc.,0.45,0.0,0.0,0.03,0.49
13980,Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,DS,2007.0,Adventure,D3Publisher,0.0,0.0,0.04,0.0,0.04
1892,Endless Ocean,Wii,2007.0,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09
15722,Suzunone Seven: Rebirth Knot,PS2,2010.0,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
7316,Afrika,PS3,2008.0,Adventure,Unknown,0.12,0.0,0.08,0.01,0.21
14907,Doki Oki,PS,1995.0,Adventure,Banpresto,0.0,0.0,0.02,0.0,0.03
13232,Koihime Musou,PS2,2008.0,Adventure,Yeti,0.0,0.0,0.05,0.0,0.05
4667,Mega Man Legends 2,PS,2000.0,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42
12193,Lucian Bee's: Justice Yellow / Evil Violet,PS2,2010.0,Adventure,5pb,0.0,0.0,0.07,0.0,0.07
8350,Fate/Stay Night [RÃ©alta Nua],PS2,2007.0,Adventure,Kadokawa Shoten,0.0,0.0,0.17,0.0,0.17
8573,Doctor Who: Evacuation Earth,DS,2010.0,Adventure,Asylum Entertainment,0.0,0.14,0.0,0.02,0.16
10464,The Whispered World,PC,2009.0,Adventure,Deep Silver,0.0,0.08,0.0,0.02,0.1
14651,Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,DS,2009.0,Adventure,Level 5,0.0,0.0,0.03,0.0,0.03
11456,Horrid Henry's Horrid Adventure,DS,2010.0,Adventure,Asylum Entertainment,0.0,0.07,0.0,0.01,0.08
16168,Ouka Sengoku Portable,PSP,2012.0,Adventure,Alchemist,0.0,0.0,0.01,0.0,0.01
3124,Mary-Kate and Ashley: Magical Mystery Mall,PS,2000.0,Adventure,Acclaim Entertainment,0.36,0.24,0.0,0.04,0.65
12305,Sprung - A Game Where Everyone Scores,DS,2004.0,Adventure,Ubisoft,0.06,0.0,0.0,0.0,0.06
12441,Kekkon: Marriage,SAT,1995.0,Adventure,Shogakukan,0.0,0.0,0.06,0.0,0.06
8865,Space Station Silicon Valley,N64,1997.0,Adventure,Take-Two Interactive,0.12,0.03,0.0,0.0,0.15
13275,Detective Conan: Marionette Symphony,3DS,2013.0,Adventure,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
8603,Sherlock Holmes vs. Jack the Ripper,X360,2009.0,Adventure,Focus Home Interactive,0.11,0.04,0.0,0.01,0.16
15391,Uta no * Prince-Sama,PSP,2010.0,Adventure,Broccoli,0.0,0.0,0.02,0.0,0.02
1537,Mystery Case Files: MillionHeir,DS,2008.0,Adventure,Nintendo,0.76,0.4,0.0,0.12,1.29
6142,Pirates of the Caribbean: Dead Man's Chest,PSP,2006.0,Adventure,Disney Interactive Studios,0.25,0.01,0.0,0.02,0.28
13472,Tomoyo After: It's a Wonderful Life CS Edition,PSP,2009.0,Adventure,Prototype,0.0,0.0,0.04,0.0,0.04
11949,Second Sight,XB,2004.0,Adventure,Codemasters,0.05,0.02,0.0,0.0,0.07
12013,Ghost in the Shell: Stand Alone Complex,PSP,2005.0,Adventure,Atari,0.06,0.0,0.0,0.01,0.07
15178,Doki Majo Plus,DS,2009.0,Adventure,SNK Playmore,0.0,0.0,0.02,0.0,0.02
15255,Date A Live: Arusu Install,PS3,2014.0,Adventure,Compile Heart,0.0,0.0,0.02,0.0,0.02
16210,Duel Love: Koisuru Otome wa Shouri no Megami,DS,2008.0,Adventure,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
4583,Dog's Life,PS2,2003.0,Adventure,Sony Computer Entertainment,0.21,0.16,0.0,0.05,0.42
14710,Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,PSP,2011.0,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03
7218,The Walking Dead: Season Two,PS3,2014.0,Adventure,Telltale Games,0.09,0.09,0.0,0.04,0.22
11877,Code Geass: Hangyaku no Lelouch - Lost Colors,PSP,2008.0,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
10857,PhotoKano,PSP,2012.0,Adventure,Kadokawa Shoten,0.0,0.0,0.09,0.0,0.09
14509,Suzumiya Haruhi no Chokuretsu,DS,2009.0,Adventure,Sega,0.0,0.0,0.03,0.0,0.03
12556,Theresia...,DS,2008.0,Adventure,Arc System Works,0.06,0.0,0.0,0.0,0.06
15617,Koisuru Otome to Shugo no Tate Portable,PSP,2010.0,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
15370,Princess Isabella: A Witch's Curse,Wii,2010.0,Adventure,Destineer,0.02,0.0,0.0,0.0,0.02
15989,Sora no Otoshimono: DokiDoki Summer Vacation,PSP,2010.0,Adventure,Kadokawa Shoten,0.0,0.0,0.01,0.0,0.01
15306,Robotics;Notes,X360,2012.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
14826,Captain Morgane and the Golden Turtle,PC,2012.0,Adventure,Reef Entertainment,0.0,0.02,0.0,0.0,0.03
12269,Pirates: The Legend of Black Kat,XB,2002.0,Adventure,Electronic Arts,0.05,0.01,0.0,0.0,0.06
11565,Lost in Blue: Shipwrecked,Wii,2008.0,Adventure,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08
14766,Infinite Stratos 2: Ignition Hearts,PS3,2014.0,Adventure,5pb,0.0,0.0,0.03,0.0,0.03
6795,Corpse Party: Blood Drive,PSV,2014.0,Adventure,Marvelous Interactive,0.11,0.03,0.06,0.05,0.24
8927,The Walking Dead: Season Two,PSV,2014.0,Adventure,Telltale Games,0.1,0.0,0.01,0.03,0.15
533,Mortal Kombat Trilogy,PS,1996.0,Fighting,GT Interactive,1.98,0.7,0.0,0.11,2.79
12887,Bleach: Blade Battlers,PS2,2006.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.05,0.0,0.05
14297,Custom Beat Battle: Draglade 2,DS,2008.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
892,Mortal Kombat vs. DC Universe,X360,2008.0,Fighting,Midway Games,1.53,0.24,0.0,0.16,1.93
10797,Street Fighter Collection,PS,1997.0,Fighting,Capcom,0.0,0.0,0.09,0.01,0.1
5832,Ehrgeiz,PS,1998.0,Fighting,SquareSoft,0.17,0.12,0.0,0.02,0.3
8811,All Japan Pro Wrestling featuring Virtua,SAT,1997.0,Fighting,Sega,0.0,0.0,0.15,0.0,0.15
3988,Dead or Alive Ultimate,XB,2004.0,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,0.5
2627,Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010.0,Fighting,Namco Bandai Games,0.43,0.27,0.01,0.07,0.79
2159,Mortal Kombat Trilogy,N64,1996.0,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96
2986,Naruto: Clash of Ninja,GC,2003.0,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68
7354,MTV Celebrity Deathmatch,XB,2003.0,Fighting,Gotham Games,0.16,0.05,0.0,0.01,0.21
13695,Deadliest Warrior: Ancient Combat,X360,2012.0,Fighting,Cloud Imperium Games Corporation,0.04,0.0,0.0,0.0,0.04
15459,Digimon Rumble Arena 2,XB,2004.0,Fighting,Atari,0.01,0.0,0.0,0.0,0.02
919,WCW Nitro,PS,1998.0,Fighting,THQ,1.42,0.36,0.03,0.07,1.88
1649,WCW Mayhem,PS,1998.0,Fighting,Electronic Arts,0.68,0.46,0.0,0.08,1.22
9098,Naruto Shippuden: Ninja Destiny 3,DS,2006.0,Fighting,D3Publisher,0.0,0.01,0.13,0.0,0.14
2191,WWE SmackDown vs. Raw 2009,PS3,2008.0,Fighting,THQ,0.51,0.31,0.01,0.13,0.95
4481,Naruto: Ultimate Ninja 3,PS2,2005.0,Fighting,Atari,0.36,0.01,0.0,0.06,0.44
11232,Cartoon Network: Punch Time Explosion XL,Wii,2011.0,Fighting,Crave Entertainment,0.07,0.01,0.0,0.01,0.09
4954,Fatal Fury,SNES,1992.0,Fighting,Takara,0.0,0.0,0.39,0.0,0.39
12299,Naruto: Ultimate Ninja Heroes (JP sales),PSP,2006.0,Fighting,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
13473,Guilty Gear XX Accent Core,PS2,2007.0,Fighting,Unknown,0.0,0.0,0.04,0.0,0.04
8641,Saturday Night Slam Masters,SNES,1994.0,Fighting,Capcom,0.0,0.0,0.16,0.0,0.16
13134,Guilty Gear Dust Strikers,DS,2006.0,Fighting,Majesco Entertainment,0.05,0.0,0.0,0.0,0.05
1690,WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,THQ,0.45,0.47,0.0,0.28,1.19
40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
